title,brand,old_pred,old_conf,new_pred,new_conf,conf_delta,pred_changed,escaped_grey,verifier_token,new_reasoning,error
BANARASI LAL PEDA-200 Gms,Ksheer Sagar,branded,0.4494,unbranded,0.9879,0.5385,True,True,Yes,"""Banarasi Lal Peda"" describes a regional style of the traditional Indian sweet (peda from Banaras/Varanasi), not a specific manufacturer or brand name.",
ROW - Barcode Lable 50mmX25mm Non Tearable,Unbranded,branded,0.0981,unbranded,0.9997,0.9016,True,True,Yes,"ROW appears to be an internal code or abbreviation, and the rest of the title only describes the product's type, size, and material properties.",
Softy Premix Vanilla,MINUS 30,branded,0.5,unbranded,1.0,0.5,True,True,Yes,The title describes a type of premix product with a vanilla flavor; 'Softy' appears to be a descriptive term for soft-serve rather than a recognizable manufacturer or company name.,
Crispy Cajun Breading Mix,unbrand,branded,0.7879,unbranded,1.0,0.2121,True,True,Yes,"The title only describes the product's texture, flavor, and type without naming any manufacturer or company.",
Cutlery Set The Cake Story,unbranded,branded,0.7905,branded,0.291,-0.4995,False,False,No,'The Cake Story' appears to be a brand name identifying the maker of the cutlery set.,
Triplesec,unbranded,branded,0.7663,unbranded,1.0,0.2337,True,True,Yes,"Triple sec is a generic orange-flavored liqueur/ingredient name, not a specific manufacturer or brand.",
COLOUR CODE DOTT TUES,Unbranded,branded,0.0331,unbranded,1.0,0.9669,True,True,Yes,"The title appears to be a descriptive internal code or abbreviated label (colour code, dot, Tuesday) with no identifiable manufacturer or brand name.",
AANCH COVER,Unbranded,branded,0.1689,unbranded,0.999,0.8301,True,True,Yes,"The title appears to describe a functional cover item, with 'AANCH' not being a recognizable manufacturer or company name.",
Sambal Oelek,Unbranded,branded,0.1711,unbranded,0.9998,0.8287,True,True,Yes,"Sambal Oelek is a type of chili paste/condiment describing what the item is, not a manufacturer or brand name.",
MF White Compound CO W33,Unbranded,branded,0.7372,unbranded,1.0,0.2628,True,True,Yes,"The title appears to be a descriptive product code with material type (White Compound) and an internal code (CO W33), with no recognizable manufacturer name.",
Kobij-Cabbage,unbranded,unbranded,0.2975,unbranded,1.0,0.7025,False,True,Yes,"The title appears to be a descriptive name for a cabbage variety or type, with no recognizable manufacturer or company name.",
SS Mould Round Cutter - 12pcs,Unbranded,branded,0.0009,unbranded,1.0,0.9991,True,True,Yes,"The title only describes the item (stainless steel mould round cutter, 12-piece set) without naming a real manufacturer or company.",
Ro 48,Unbranded,branded,0.026,unbranded,1.0,0.974,True,True,Yes,The title appears to be an internal code or size/model descriptor and does not identify a recognizable manufacturer or company name.,
#_# Caramelo Banditos Sticker - Cookie Cartel,Unbranded,branded,0.7905,branded,0.0045,-0.786,False,False,No,"The title references 'Cookie Cartel,' which identifies a real maker or brand producing this sticker product.",
SS  NOODAL CHANNI,Unbranded,branded,0.0004,unbranded,1.0,0.9996,True,True,Yes,"The title describes a stainless steel noodle strainer/colander by material and function, with no identifiable maker or brand name.",
STICKER SHEEK KABAB,Unbranded,branded,0.0041,unbranded,1.0,0.9959,True,True,Yes,The title describes a sticker product related to 'sheek kabab' (a type of kebab) without naming any recognizable manufacturer or company.,
Unbranded Spray Gun,unbranded,unbranded,0.6225,unbranded,1.0,0.3775,False,True,Yes,The title explicitly states 'Unbranded' and only describes the item type (spray gun) without naming a manufacturer.,
Kung Pao Sauce 335 G,Unbranded,branded,0.0357,unbranded,1.0,0.9643,True,True,Yes,"The title only describes a type of sauce (Kung Pao) and its weight, with no manufacturer or company name present.",
#_# Big Blue Box - Sweetish,unbranded,branded,0.7249,unbranded,1.0,0.2751,True,True,Yes,"The title only describes the item's size, color, container type, and flavor characteristic without naming a real manufacturer or company.",
Texmex cheese sauce,Unbranded,branded,0.018,unbranded,1.0,0.982,True,True,Yes,The title only describes what the item is — a Tex-Mex style cheese sauce — without naming a manufacturer or company.,
Milk Compound Slab M21,Unbranded,branded,0.4844,unbranded,1.0,0.5156,True,True,Yes,"The title describes the product type (milk compound slab) and what appears to be an internal code (M21), with no recognizable manufacturer or brand name.",
Flow Wrap Rolls - Raspberry Duet (60 ml),unbranded,branded,0.0316,unbranded,1.0,0.9684,True,True,Yes,"The title only describes the product type, flavor, and size without naming a manufacturer or company.",
PG-Paper Tub Lids,Unbranded,branded,0.4111,unbranded,0.8222,0.4111,True,False,Yes,PG-Paper appears to be a descriptive material abbreviation (paper/paperboard) rather than a recognizable manufacturer or company name.,
CELLO TAPE BIG PLAIN 3 INCH,UNBRANDED,branded,0.7905,unbranded,0.9353,0.1448,True,True,Yes,"The title only describes the product type (cello tape), size (3 inch), and style (big plain) without naming a real manufacturer or brand.",
Kcco Tray Big,Unbranded,branded,0.6406,unbranded,0.9998,0.3592,True,True,Yes,"'Kcco' appears to be an internal code or abbreviation rather than a recognizable manufacturer or brand name, and the rest of the title is purely descriptive.",
Gud,Unbranded,unbranded,0.85,branded,0.9425,0.0925,True,True,Yes,Güd is a recognized personal care brand (by Burt's Bees) that identifies a specific maker.,
SS GN PAN 1/3 100 MM,Unbranded,branded,0.0001,unbranded,1.0,0.9999,True,True,Yes,"The title consists of abbreviations describing a stainless steel gastronorm pan with size specifications (1/3, 100mm), with no recognizable manufacturer name.",
XO Sauce Sticker,Unbranded,branded,0.0015,unbranded,1.0,0.9985,True,True,Yes,"XO Sauce is a type of spicy seafood sauce, and 'XO Sauce Sticker' describes what the sticker depicts rather than naming a manufacturer.",
San Marzano - Pomace Olive Oil,San Marzano,branded,0.7746,unbranded,0.6893,-0.0853,True,False,Yes,"San Marzano refers to a type/origin of tomato, but here it appears to describe the product style rather than a recognizable manufacturer or company.",
Classic Ice Burst 10 Nos,unbrand,branded,0.5312,unbranded,1.0,0.4688,True,True,Yes,The title only describes the product type ('Classic Ice Burst') and quantity ('10 Nos') without naming a real manufacturer or company.,
HOLLO MAT3125*5,Unbranded,branded,0.5078,unbranded,1.0,0.4922,True,True,Yes,The title appears to be a descriptive product code/size reference (hollow mat with dimensions 3125*5) with no recognizable manufacturer or brand name.,
Cotton BBK Apron,Unbranded,branded,0.1711,unbranded,0.9999,0.8288,True,True,Yes,"'Cotton' is a material, 'BBK' appears to be an abbreviation or style code rather than a recognized brand name, and 'Apron' describes the product type.",
#_# Cacao Crispy - Ether,unbranded,branded,0.4649,unbranded,1.0,0.5351,True,True,Yes,"The title appears to describe a cacao-flavored crispy product with a descriptor 'Ether,' none of which clearly identifies a real manufacturer or company name.",
Cake Saver,unbranded,branded,0.0003,unbranded,1.0,0.9997,True,True,Yes,'Cake Saver' is a descriptive name indicating the product's function — saving/storing cakes — with no identifiable manufacturer or brand name.,
Dark Chocolate Paste-NAS,Unbranded,branded,0.0351,unbranded,0.9999,0.9648,True,True,Yes,The title describes an ingredient type (dark chocolate paste) with 'NAS' appearing to be an internal code or abbreviation rather than a recognized brand name.,
Keto Blueberry Cheesecake Ice Cream - 100 ml RM,GAW,branded,0.2422,unbranded,1.0,0.7578,True,True,Yes,"The title only describes the product's diet type, flavor, format, and size without naming any manufacturer or brand.",
GLUTEN NB 0121,unbranded,branded,0.8129,unbranded,1.0,0.1871,True,True,Yes,"The title appears to be a descriptive label with 'GLUTEN' as an ingredient descriptor and 'NB 0121' as an internal code, with no recognizable manufacturer or company name.",
200m Tie,Unbranded,unbranded,0.7827,unbranded,1.0,0.2173,False,True,Yes,"The title only describes a measurement (200m) and item type (Tie), with no manufacturer or brand name present.",
SAMSEER MARK,Unbranded,branded,0.2568,unbranded,0.9999,0.7431,True,True,Yes,'SAMSEER MARK' does not correspond to any recognizable manufacturer or company name and appears to be a descriptive or internal label.,
EGGFREE TEA TIME VANILLA MUFFIN,unbranded,branded,0.0685,unbranded,1.0,0.9315,True,True,Yes,"The title only describes the product's characteristics (egg-free, tea time, vanilla, muffin) without naming a real manufacturer or company.",
Fruit Cocktail Tin,Unbranded,branded,0.3998,unbranded,1.0,0.6002,True,True,Yes,The title only describes what the product is — a tin of fruit cocktail — without naming any manufacturer or brand.,
Dark Compound Co D15 500Gms,,branded,0.2282,unbranded,1.0,0.7718,True,True,Yes,The title describes a dark compound product with a size code and weight; 'Compound Co' appears descriptive rather than identifying a real manufacturer.,
MRD Stickers,unbranded,branded,0.637,unbranded,0.9992,0.3622,True,True,Yes,MRD appears to be an abbreviation or internal code rather than a recognizable manufacturer or company name.,
Staff Mustard Whole,,unbranded,0.3007,unbranded,0.7402,0.4395,False,False,Yes,The title only describes the product type (whole mustard) with 'Staff' appearing to be a descriptive label rather than a recognizable manufacturer or company name.,
Sticker Mutton Haleem,unbranded,branded,0.0213,unbranded,0.9997,0.9784,True,True,Yes,The title describes a type of dish (Mutton Haleem) with 'Sticker' appearing to be a descriptive label format rather than a recognizable brand or manufacturer name.,
InWard Register,Unbranded,branded,0.0177,unbranded,0.9846,0.9669,True,True,Yes,"'InWard Register' describes a type of register (air vent/register) with an inward direction, and does not identify a recognizable manufacturer or company name.",
DESERT SPOON 12GTIDY,Unbranded,branded,0.0122,unbranded,1.0,0.9878,True,True,Yes,"The title describes a type of utensil (desert spoon) with a size/quantity code, with no identifiable manufacturer or brand name.",
Topper,unbranded,branded,0.1176,unbranded,1.0,0.8824,True,True,Yes,The word 'Topper' is a generic descriptive term referring to a type of item (a topper) and does not identify a specific manufacturer or company.,
TL Slicer Cutter,Unbranded,branded,0.0981,unbranded,1.0,0.9019,True,True,Yes,"'TL' appears to be an abbreviation or internal code, not a recognizable manufacturer or company name, and the rest of the title is purely descriptive.",
Chlorin Liquid,unbrand,branded,0.5234,unbranded,1.0,0.4766,True,True,Yes,The title only describes what the item is — a chlorine-based liquid — without naming a manufacturer or company.,
Golden Dust,unbranded,branded,0.3141,unbranded,1.0,0.6859,True,True,Yes,"'Golden Dust' is a descriptive phrase referring to the color and texture of the product, not a recognizable manufacturer or company name.",
Ajinomato,unbranded,branded,0.7154,branded,0.4111,-0.3043,False,False,No,Ajinomoto is a well-known Japanese food and seasoning company/manufacturer.,
Food Colours Splash 200g Assorted,unbranded,branded,0.3702,unbranded,1.0,0.6298,True,True,Yes,The title only describes what the product is — food colours in an assorted 200g pack — without naming any manufacturer or brand.,
CELLOFIN PAPER,Unbranded,branded,0.7578,branded,0.0927,-0.6651,False,False,No,"CELLOFIN appears to be a brand name for a specific type of paper product, identifying a maker rather than just describing the material.",
BARDINET BRANDY 1000 ML,Unbranded,branded,0.0326,branded,1.0,0.9674,False,True,Yes,Bardinet is a recognized French brandy manufacturer/brand name.,
Chef Coat S36  Black Half Sleeve,unbranded,branded,0.0357,unbranded,1.0,0.9643,True,True,Yes,"The title only describes the item's type, size, color, and sleeve length; 'Chef Coat' is a generic product description, not a brand name.",
Fruit Filling Mango Delta,unbranded,branded,0.8056,unbranded,1.0,0.1944,True,True,Yes,"The title only describes the product type (fruit filling), flavor (mango), and a descriptor (delta), with no identifiable manufacturer or brand name.",
#_# Mustard Seeds Temper/Tadka - Murukku,unbranded,unbranded,0.3416,unbranded,1.0,0.6584,False,True,Yes,The title only describes the item type (mustard seeds temper/tadka murukku) with no identifiable manufacturer or company name.,
Boba Lychee can,Unbranded,branded,0.0001,unbranded,1.0,0.9999,True,True,Yes,The title only describes the product type (boba lychee in a can) without naming a manufacturer or brand.,
Chocolate Hamper 812,Unbranded,branded,0.2121,unbranded,1.0,0.7879,True,True,Yes,"The title only describes what the item is (a chocolate hamper) plus an internal code number, with no manufacturer or company name present.",
#_# Hamper Box Of 2 Outer  - The Tiny Tub,unbranded,branded,0.7853,branded,0.0041,-0.7812,False,False,No,'The Tiny Tub' appears to be a real brand or product line name identifying the maker/seller of this hamper box.,
Cmc Powder,unbranded,branded,0.0005,unbranded,1.0,0.9995,True,True,Yes,"CMC (Carboxymethyl Cellulose) is a common chemical/ingredient abbreviation describing what the powder is, not a manufacturer name.",
Tom Kha Paste 1kg pkt,unbranded,branded,0.0706,unbranded,1.0,0.9294,True,True,Yes,The title only describes what the product is — a type of Thai curry paste (Tom Kha) with a size specification — without naming a manufacturer or brand.,
95 Die lid,Unbranded,unbranded,0.85,unbranded,1.0,0.15,False,True,Yes,The title describes a die lid component with a size/model number ('95') and contains no recognizable manufacturer or brand name.,
Yellow Color,Unbranded,unbranded,0.6893,unbranded,1.0,0.3107,False,True,Yes,The title only describes a color and contains no maker or brand name.,
Iceberg,Unbrand,unbranded,0.5,unbranded,0.5583,0.0583,False,False,Yes,"The title 'Iceberg' is a descriptive term referring to a type of lettuce or a natural formation, not a manufacturer or company name.",
Truffle Paste (500gm Pack),Unbranded,branded,0.0001,unbranded,1.0,0.9999,True,True,Yes,"The title only describes the product type (truffle paste) and its pack size (500gm), with no manufacturer or brand name present.",
Nam Shop Sticker   Prawn Crackers Large,unbranded,branded,0.4805,branded,0.0298,-0.4507,False,False,No,'Nam Shop' is a brand/shop name that identifies the maker of the prawn crackers.,
Ciclo Printed Cake Box 2Pc,unbranded,branded,0.8176,unbranded,0.9632,0.1456,True,True,Yes,"'Ciclo' is not a recognizable manufacturer or company name and likely describes a style or design, while the rest of the title describes the product's features.",
TL Hitachi UX Makeup 800ml,Unbranded,branded,0.1624,branded,0.9997,0.8373,False,True,Yes,Hitachi is a recognized manufacturer/brand name appearing in the product title.,
MINERAL WATER BOTTLE 1 LIT SF,unbranded,branded,0.1128,unbranded,1.0,0.8872,True,True,Yes,The title only describes what the product is (mineral water in a 1-litre bottle) with no recognizable manufacturer or brand name.,
ROSE MARY,Unbranded,branded,0.2309,unbranded,1.0,0.7691,True,True,Yes,Rosemary is a common herb/spice name with no identifiable manufacturer or brand present in the title.,
#_# Baked Oregano Cheese Matthi - Genda Phool,unbranded,branded,0.8199,branded,0.0046,-0.8153,False,False,No,Genda Phool appears to be a brand/maker name identifying who produces this baked oregano cheese matthi snack.,
STICKER SALAD,UNBRANDED,branded,0.2509,unbranded,1.0,0.7491,True,True,Yes,The title describes a type of product (a sticker assortment/mix) without naming a real manufacturer or company.,
Vanaspati 1kg pkt,unbranded,branded,0.2539,unbranded,1.0,0.7461,True,True,Yes,"Vanaspati is a generic term for hydrogenated vegetable fat, and the title only describes the product type and size without naming a manufacturer.",
Aampanna juice 150ml,Unbranded,branded,0.0014,branded,0.0,-0.0014,False,False,No,'Aampanna' is a recognizable brand name for a packaged mango-based juice product identifying a specific maker.,
Quarry And Tile Floor Cleaner (120X2Oz),Krispy Kreme,branded,0.023,unbranded,1.0,0.977,True,True,Yes,"The title only describes the product's function (floor cleaner for quarry and tile) and its quantity/size, with no manufacturer or brand name identified.",
Zukni Green,Unbranded,branded,0.1259,unbranded,0.9604,0.8345,True,True,Yes,"'Zukni Green' appears to describe a product type or variety (likely a zucchini) with a color descriptor, not a recognizable manufacturer or company name.",
#_# Cothas Blend Coffee 200 Gm - Murukku,Unbranded,branded,0.2309,branded,0.9981,0.7672,False,True,Yes,Cothas is a recognized coffee brand/manufacturer from India.,
Kumatia,Unbranded,unbranded,0.6225,unbranded,0.9989,0.3764,False,True,Yes,'Kumatia' appears to be a descriptive or foreign-language product name rather than a recognizable manufacturer or company brand.,
#_# Stirrer - Murukku,Unbranded,unbranded,0.7905,unbranded,1.0,0.2095,False,True,Yes,"The title only describes a type of stirrer used for making murukku (a snack), with no manufacturer or brand name present.",
Panner Fresh 1 kg,unbranded,unbranded,0.7905,unbranded,1.0,0.2095,False,True,Yes,"The title describes a fresh dairy product (paneer) with a weight specification, without naming a real manufacturer or brand.",
HING (LG),unbranded,branded,0.0888,unbranded,0.9649,0.8761,True,True,Yes,"HING is a spice (asafoetida) and 'LG' here likely refers to a size or grade descriptor, not a recognized manufacturer.",
MUMBAI RAVA 5 KG,unbranded,branded,0.1097,unbranded,1.0,0.8903,True,True,Yes,The title only describes what the item is — Mumbai rava (semolina associated with Mumbai style) in a 5 kg size — without naming a manufacturer or company.,
Gochujang 17kg Tin,Unbranded,branded,0.7058,unbranded,1.0,0.2942,True,True,Yes,The title only describes what the product is — a type of Korean chili paste (gochujang) with a size and container format — without naming any manufacturer.,
Timmys Food Bag,unbranded,branded,0.6619,branded,0.1128,-0.5491,False,False,No,'Timmys' identifies a specific maker or named entity (Timmy's) associated with the product.,
11.5x11.5 (Round) Sandhouse Butter paper (40GSM),unbranded,branded,0.8397,unbranded,0.7578,-0.0819,True,False,Yes,"The title describes a physical product by its size, shape, material type, and weight specification; 'Sandhouse' appears to be a descriptive term for the paper type rather than a recognized manufacturer brand.",
Hand Sanitizer HS 100,unbranded,branded,0.2227,unbranded,1.0,0.7773,True,True,Yes,"The title only describes the product type (hand sanitizer) with what appears to be an internal code/abbreviation (HS 100), with no recognizable manufacturer or company name.",
Salt Black Tiger,unbranded,unbranded,0.1277,unbranded,1.0,0.8723,False,True,Yes,"The title only describes the product by type and variety (salt, black tiger) without naming any manufacturer or brand.",
FRENCH HEARTS VINYL STICKER SET,Unbranded,branded,0.0,unbranded,1.0,1.0,True,True,Yes,"The title only describes the product's design (French hearts), material (vinyl), and format (sticker set) without naming any manufacturer or brand.",
BLACK PAPER,unbranded,unbranded,0.0001,unbranded,1.0,0.9999,False,True,Yes,"The title only describes the material and color of the item, with no maker or company name present.",
Millet Dosa Batter - ME,ME,branded,0.0038,unbranded,0.9997,0.9959,True,True,Yes,"The title describes a type of dosa batter made from millet, and 'ME' appears to be an internal code or abbreviation rather than a recognizable brand or manufacturer name.",
#_# Gate Pass Book,unbranded,branded,0.0012,unbranded,1.0,0.9988,True,True,Yes,The title only describes a type of record-keeping book (gate pass book) with no recognizable manufacturer or brand name.,
Chocolate Hamper 1864,Unbranded,branded,0.0434,unbranded,1.0,0.9566,True,True,Yes,"The title only describes the product type (chocolate hamper) and a number that appears to be a code or year, with no identifiable manufacturer or brand name.",
#_# Wooden Spoon - Amore,Unbranded,branded,0.7773,unbranded,1.0,0.2227,True,True,Yes,"'Amore' is an Italian word meaning 'love' used descriptively, and 'Wooden Spoon' describes the item type, with no identifiable manufacturer name present.",
SEED TIL WHITE NYLON,UNBRANDED,unbranded,0.1082,unbranded,1.0,0.8918,False,True,Yes,"The title only describes the product's material and color (white nylon) and type (til/sesame seed), with no identifiable maker or brand name.",
Plain Container - Classic Cassata (110 ml),Unbranded,branded,0.5,unbranded,1.0,0.5,True,True,Yes,"The title only describes the product type (plain container, classic cassata) and size (110 ml) without naming any manufacturer or brand.",
Mogra Staff Rice (Broken Basmati Rice) 30 Kg 138777,OUTLET,unbranded,0.728,unbranded,1.0,0.272,False,True,Yes,"Mogra is a type/grade of broken basmati rice, not a manufacturer or company name, and the title only describes the product type and size.",
#_# Jar - Death By Chocolate - Getaway,Unbranded,branded,0.22,unbranded,1.0,0.78,True,True,Yes,"The title describes a jar product with a flavor name ('Death By Chocolate') and a variant name ('Getaway'), none of which identify a real manufacturer or company.",
#_# Scissor,unbranded,unbranded,0.8311,unbranded,1.0,0.1689,False,True,Yes,The title only describes the item type (scissor) with no recognizable manufacturer or company name.,
2 Cp-Snacc,unbranded,branded,0.1824,unbranded,1.0,0.8176,True,True,Yes,"The title appears to be a size/quantity descriptor ('2 Cp') combined with 'Snacc,' which reads as a descriptive snack label rather than a recognizable manufacturer or brand name.",
110 Ml Tea paper cup-Snacc,unbranded,branded,0.8199,branded,0.044,-0.7759,False,False,No,'Snacc' appears to be a brand name identifying the maker of these tea paper cups.,
7 inch Plate Chuk,Unbranded,unbranded,0.848,unbranded,1.0,0.152,False,True,Yes,"The title only describes a physical product by its size and type, with no manufacturer or brand name present.",
Star Papad,Unbranded,branded,0.7827,branded,0.1733,-0.6094,False,False,No,'Star' is used as a brand name identifying the maker of the papad product.,
RED COLOUR,Unbranded,unbranded,0.1176,unbranded,1.0,0.8824,False,True,Yes,The title only describes a color attribute with no manufacturer or company name present.,
NONBROMITE BREAD IMPROVER 1 KG 0157,unbranded,branded,0.5117,unbranded,0.9999,0.4882,True,True,Yes,The title describes a functional baking ingredient (bread improver) with a descriptive term and weight; 'NONBROMITE' describes a product characteristic (without bromate) rather than a manufacturer name.,
Kiley Soda 250 ML - SNACC,UNBRANDED,branded,0.5273,unbranded,0.991,0.4637,True,True,Yes,'Kiley Soda' reads as a descriptive product name and 'SNACC' appears to be an internal code or label rather than a recognizable manufacturer or company name.,
ONION RINGS (PB),Olio,unbranded,0.6406,unbranded,1.0,0.3594,False,True,Yes,"The title only describes the food item (onion rings) with a parenthetical abbreviation, and no real manufacturer or brand name is identified.",
Luster Dust Royal Gold,Unbranded,branded,0.0534,unbranded,1.0,0.9466,True,True,Yes,"The title describes a decorative edible dust product with a color/finish descriptor; 'Luster Dust' is a common product type name and 'Royal Gold' describes the color, with no identifiable manufacturer named.",
TT RIBBAN J304 (110MM X 300MTR),Unbranded,branded,0.2814,unbranded,1.0,0.7186,True,True,Yes,The title appears to contain a product code and dimensions but no recognizable manufacturer or company name.,
Sweets Milk Barfi Red Velvet,unbranded,branded,0.094,unbranded,1.0,0.906,True,True,Yes,"The title describes a type of sweet confection (milk barfi) with a flavor/style descriptor (red velvet), with 'Sweets' being a generic category word rather than a brand name.",
#_# Tomato Chutney Frozen - Murukku,Unbranded,unbranded,0.8105,unbranded,1.0,0.1895,False,True,Yes,The title describes a food item (tomato chutney frozen with murukku) without naming a recognizable manufacturer or company.,
Designer Dummy,unbranded,unbranded,0.021,unbranded,1.0,0.979,False,True,Yes,"""Designer Dummy"" is a descriptive product name referring to a type of dummy/pacifier, not a real manufacturer or company name.",
Carrot Beans Poriyal(ME)-A-BAN,unbranded,unbranded,0.7432,unbranded,1.0,0.2568,False,True,Yes,"The title describes a dish (Carrot Beans Poriyal) with what appears to be an internal code suffix, and no recognizable manufacturer or brand name is present.",
Twinning Lemon Tea,unbrand,branded,0.2451,branded,0.3558,0.1107,False,False,No,"Twinning (likely 'Twinings') is a well-known tea manufacturer, making this a branded product.",
Napkin Bikkgane,unbranded,branded,0.5078,unbranded,0.7025,0.1947,True,False,Yes,'Napkin' describes the product type and 'Bikkgane' appears to be a descriptive or foreign-language term rather than a recognizable manufacturer or brand name.,
#_# Sticker - Sauce Dip Sticker Tangy Thai Tom Yum Sauce - Prasuma,unbranded,branded,0.461,branded,0.9997,0.5387,False,True,Yes,Prasuma is a real food manufacturer/brand that makes the product.,
Cello Tape Green,Unbranded,unbranded,0.5429,unbranded,0.9086,0.3657,False,True,Yes,"'Cello tape' is a generic term for adhesive tape and 'green' describes the color, with no real manufacturer name present.",
Butter Croissant-Snacc,unbranded,branded,0.7827,unbranded,1.0,0.2173,True,True,Yes,"The title only describes the type of pastry (butter croissant) with an informal spelling variant, naming no real maker or company.",
UCC 2door 3drawer + raised BM + 1/6gnx6,Custom,branded,0.3812,unbranded,0.9991,0.6179,True,True,Yes,"UCC appears to be an internal product code or abbreviation describing a cabinet configuration, not a recognizable manufacturer or company name.",
Ziplock Bags,Unbranded,unbranded,0.6002,branded,0.363,-0.2372,True,False,No,Ziploc is a recognized brand name owned by SC Johnson that identifies the maker of the bags.,
COKE CANE,Unbranded,branded,0.0027,branded,0.0093,0.0066,False,False,No,Coke is a well-known brand name for Coca-Cola's cola beverage.,
Pizza Platter Butter Paper 16*9,Unbranded,branded,0.001,unbranded,1.0,0.999,True,True,Yes,"The title only describes the item type (butter paper for pizza platter) and its size (16*9), with no manufacturer or brand name present.",
Newyork Cheese Filling,Krispy Kreme,branded,0.0015,unbranded,1.0,0.9985,True,True,Yes,"The title describes a type of cheese filling associated with New York style, with no identifiable manufacturer or brand name present.",
N20 Whipped Cream Chargers,Unbranded,branded,0.0002,unbranded,1.0,0.9998,True,True,Yes,"N20 refers to nitrous oxide (N₂O), the gas used in whipped cream chargers, and does not identify a manufacturer or brand.",
YU001517 Sensor Magnetiv 2 Nc,Unbranded,branded,0.3277,unbranded,1.0,0.6723,True,True,Yes,"The title describes a magnetic sensor component with specifications; 'YU001517' appears to be an internal part/SKU code, not a recognizable manufacturer brand.",
#_# Frozen Chonk O Rocher - Chonkers,unbranded,branded,0.7718,unbranded,1.0,0.2282,True,True,Yes,"The title describes a frozen food item with playful descriptive names ('Chonk O Rocher', 'Chonkers') that appear to be product descriptors rather than a recognized manufacturer or company brand.",
Canteen Drink Box (250GSM) SBS,unbranded,branded,0.0065,unbranded,1.0,0.9935,True,True,Yes,"The title describes a product type (drink box/canteen) with material specifications (250GSM, SBS) but names no recognizable manufacturer or brand.",
#_# Big Bag - Stroopie,Unbranded,branded,0.0331,unbranded,1.0,0.9669,True,True,Yes,"The title describes a product type ('Big Bag') and a flavor/variety name ('Stroopie'), with no identifiable manufacturer or brand name.",
Sipper Cup 300ml,Thee Pacakging Co,unbranded,0.1711,unbranded,1.0,0.8289,False,True,Yes,The title only describes the product type and size with no manufacturer or brand name identified.,
CHULLA,Unbranded,branded,0.0119,unbranded,1.0,0.9881,True,True,Yes,CHULLA does not correspond to any recognizable manufacturer or company name and appears to be a descriptive or regional term rather than a brand.,
Danish White Feta 500GM,Unbranded,branded,0.0005,unbranded,1.0,0.9995,True,True,Yes,"The title only describes the product's type (white feta), origin style (Danish), and size (500GM) without naming a manufacturer or brand.",
Bandan Cap,unbranded,branded,0.0003,unbranded,1.0,0.9997,True,True,Yes,The title appears to describe a type of cap (possibly a bandana cap) without naming a recognizable manufacturer or company.,
Kesar Kaju Katli 500 Gms Gold Foil Cover,unbranded,branded,0.0081,unbranded,1.0,0.9919,True,True,Yes,The title only describes what the item is — a saffron cashew sweet (Kesar Kaju Katli) in a specific weight and packaging — without naming a manufacturer or company.,
Mozzarella Cheese - Flanders,Unbranded,branded,0.077,unbranded,0.9999,0.9229,True,True,Yes,"'Mozzarella Cheese' describes the product type and 'Flanders' refers to a geographic region, not a manufacturer or company name.",
TORCH BLOW COOKING,unbranded,branded,0.002,unbranded,1.0,0.998,True,True,Yes,"The title only describes a type of cooking torch tool, with no manufacturer or company name identified.",
